Run,Accuracy,Precision,Recall,F1-score,FPR,AUC,Feature_Reduction_Rate,Training_Time_sec
Run1,0.9954616268586507,0.9924868760157978,0.9984994062241238,0.9954808819279526,0.007576152506822372,0.9998252114836651,0.7872340425531915,3387.610361099243
Run2,0.9971374521894109,0.995148924024596,0.9991473522077806,0.9971436918438443,0.004872447828958858,0.9999201712134669,0.7978723404255319,4356.332566738129
Run3,0.9939816376102877,0.9892411077581328,0.9988639905786788,0.9940203387013115,0.01090071535810329,0.9995308730152292,0.8031914893617021,4415.609569549561
Run4,0.996014175545941,0.9941999547227269,0.9978601760928234,0.9960245816724758,0.005831825000941458,0.9993746426936949,0.8138297872340425,4226.131133794785
Run5,0.9975708246963385,0.9958889706997077,0.9992746499880253,0.9975768389399129,0.004133000595348239,0.9999336867266382,0.803191489361702,4379.447230577469
Run6,0.9961267841741721,0.9930502765494293,0.999270833802538,0.9961452075027205,0.007017265454193702,0.9996114382629315,0.7978723404255319,3903.129673242569
Run7,0.9978955307279711,0.9966152515951135,0.9991954187703076,0.997901227335304,0.003404357314365522,0.999947506593676,0.7765957446808511,4313.4128539562225
Run8,0.9957205082138402,0.9936040619239364,0.9978682665586152,0.9957300875644554,0.006427250130934961,0.9998205111571318,0.7712765957446808,4383.800642967224
Run9,0.9988364691181322,0.9981281817567943,0.9995487557401957,0.9988376948329907,0.0018758175039313915,0.9999869462367673,0.7872340425531915,4344.581014156342
Run10,0.9983578553709309,0.9975360137556093,0.9991850039696661,0.9983596278273779,0.002469293227804135,0.9999788854614813,0.7872340425531914,4482.154037952423
Run11,0.9972446633866321,0.9955784304432818,0.998937672946358,0.9972529342713178,0.004448346173093754,0.9999196022141822,0.7819148936170213,4455.034120321274
Run12,0.9959351682247459,0.9933261836912277,0.9986058929014519,0.9959530029198806,0.006735556451959945,0.9997940475215246,0.7872340425531914,4423.938788890839
Run13,0.9979176779708295,0.9971626710840555,0.9986777692424043,0.9979195287193316,0.0028424133007454015,0.9999782944350921,0.7659574468085106,4502.003618001938
Run14,0.9950802413321904,0.9920600362275698,0.9981765588452939,0.9951041486280496,0.008016076180913096,0.9997411271545363,0.7925531914893618,4515.863697767258
Run15,0.9977442723957965,0.9966792095865341,0.9988181808913265,0.9977473690084419,0.0033296360997332733,0.9999647696203176,0.7553191489361701,4425.6187245845795
Run16,0.9972259895346682,0.9958444765153822,0.998626141423983,0.9972321950539351,0.004174162354646304,0.9999504224250636,0.7819148936170213,3555.1161959171295
Run17,0.9963171933142941,0.9945019682702644,0.9981669507759838,0.9963278585488936,0.005532564147395774,0.9998101484408837,0.8191489361702128,3165.773577928543
Run18,0.9979340102847859,0.9961878938086269,0.9997142123618208,0.9979429769308015,0.003846191792249043,0.9998805353704663,0.7872340425531915,3949.9699790477753
Run19,0.9965319795186235,0.9942475442219101,0.998860239500835,0.9965452141900702,0.005796280463588002,0.9998555297363948,0.7978723404255319,3733.875801086426
Run20,0.9950696283236833,0.9918369968690309,0.9984080150309043,0.9950992218616812,0.00826875838353784,0.9993521281474298,0.8138297872340425,4266.154781341553
Run21,0.9957675660114504,0.9933604238498395,0.9982126860566227,0.9957788091534773,0.00667755403372172,0.9998854909160914,0.8191489361702127,3708.610971927643
